year,birth,death
1970,31.2,8
1971,31.2,7.2
1972,28.4,6.3
1973,28.3,7.8
1974,26.6,7.2
1975,24.8,7.7
1976,22.2,7.4
1977,22.7,6.8
1978,20.3,6.8
1979,23,6.4
1980,22.6,7.3
1981,22.4,6.1
1982,21.6,6.2
1983,19.3,6.4
1984,16.7,5.9
1985,16.1,5.9
1986,15.4,5.8
1987,15,5.9
1988,15.1,5.6
1989,15.1,5.6
1990,15.2,5.6
1991,16.4,5.6
1992,16.7,5.4
1993,16,5.2
1994,16,5.4
1995,15.7,5.3
1996,15,5.2
1997,14.4,5.2
1998,13.6,5.2
1999,13,5.2
2000,13.3,5.2
2001,11.6,5
2002,10.2,5.1
2003,10.2,5.1
2004,9.8,5
2005,8.9,5
2006,9.2,5
2007,10,5
2008,9.4,5
2009,9,5
2010,9.4,5.1
2011,9.4,5.1
2012,9.6,5.3
2013,8.6,5.3
2014,8.6,5.3
2015,8.6,5.4
