date_mom,birth,death,marriage,divorce,eco_pop
Jan.00,61229,24269,30120,9045,21442
Feb.00,56305,20138,26187,9392,21458
Mar.00,59448,21404,30418,10878,21810
Apr.00,52672,20253,28179,8640,22104
May.00,52058,19668,35330,10210,22337
Jun.00,46338,18589,29029,10324,22346
Jul.00,47992,19110,20488,10083,22482
Aug.00,50163,19599,18780,11216,22256
Sep.00,52430,19963,15844,9445,22432
Oct.00,53882,21510,26823,10626,22534
Nov.00,51886,20836,33343,9887,22395
Dec.00,50098,20824,37549,9709,22016
Jan.01,56549,20934,27280,9270,21596
Feb.01,49594,19560,24243,11193,21633
Mar.01,54169,21994,28002,12266,22057
Apr.01,47950,20823,29065,10843,22581
May.01,46377,20285,33809,11685,22769
Jun.01,41440,18601,26465,11368,22753
Jul.01,42005,19342,20576,11679,22802
Aug.01,43407,19206,19804,12741,22560
Sep.01,45216,19034,17151,10883,22747
Oct.01,44383,20868,21780,11389,22848
Nov.01,42261,20470,31674,10866,22836
Dec.01,41544,20404,38558,10425,22472
Jan.02,48474,20503,28647,11852,22264
Feb.02,43264,18255,20914,10015,22333
Mar.02,47435,21088,26449,12146,22634
Apr.02,43061,20443,26328,11713,23088
May.02,41569,20262,31987,12414,23187
Jun.02,37210,18831,24828,10780,23198
Jul.02,39923,19174,21637,12200,23243
Aug.02,39330,19632,19486,13567,22958
Sep.02,39199,19770,16024,12105,23121
Oct.02,39058,21342,23124,13547,23200
Nov.02,37475,22146,30115,12219,23052
Dec.02,36113,23871,35338,12352,22768
Jan.03,45107,21746,25006,13409,22403
Feb.03,41632,19345,22547,14355,22356
Mar.03,45693,20544,25306,14959,22680
Apr.03,42755,19964,25700,14361,22949
May.03,40796,20413,29706,14259,23155
Jun.03,36553,18836,24495,14611,23178
Jul.03,37626,19287,22196,15517,23283
Aug.03,37697,19844,19080,14556,22936
Sep.03,41241,20120,16405,12963,23068
Oct.03,42861,21829,25989,13800,23254
Nov.03,40280,21190,28904,11525,23251
Dec.03,38302,21388,37169,12302,22966
Jan.04,45512,21197,25205,10827,22844
Feb.04,40763,20346,23693,12673,22959
Mar.04,45130,22242,27464,13128,23303
Apr.04,40279,20830,22460,11396,23535
May.04,38604,20610,27031,11163,23571
Jun.04,35762,18874,27224,12356,23621
Jul.04,37680,19491,20731,11417,23616
Aug.04,37965,19776,20979,12007,23229
Sep.04,38886,19128,16571,9881,23601
Oct.04,40459,20980,23367,11925,23711
Nov.04,37016,20064,30205,10963,23621
Dec.04,34705,20679,43668,11196,23394
Jan.05,41096,21651,24214,10447,23058
Feb.05,35590,18956,20633,9639,23074
Mar.05,40772,21738,26928,12071,23531
Apr.05,36340,20947,25348,9999,23839
May.05,35672,20958,29505,10636,24051
Jun.05,33442,18956,27173,10531,24123
Jul.05,34362,19236,21804,10578,24072
Aug.05,35677,19307,23344,12226,23689
Sep.05,37085,18799,18991,10836,23918
Oct.05,36946,21050,23867,10717,24056
Nov.05,35391,20651,31693,10459,23976
Dec.05,32658,21634,40804,9896,23526
Jan.06,40429,21425,26287,10282,23340
Feb.06,37308,19045,22319,10985,23365
Mar.06,40977,21149,27425,11280,23769
Apr.06,37408,20215,24364,9528,24088
May.06,37474,20299,31420,10295,24267
Jun.06,35037,18860,29038,10923,24320
Jul.06,34876,19348,22414,10164,24270
Aug.06,37159,19992,25182,11375,23972
Sep.06,38151,19566,19207,10047,24096
Oct.06,38209,20252,23163,9543,24253
Nov.06,36707,20730,33716,10471,24225
Dec.06,34418,21385,46099,9631,23773
Jan.07,43490,22634,32882,10643,23580
Feb.07,39264,19335,27806,9795,23536
Mar.07,43325,20699,27313,10487,23960
Apr.07,40048,20323,26573,10348,24337
May.07,39653,20408,31827,10653,24537
Jun.07,36854,19007,27575,9804,24593
Jul.07,39228,19302,24817,10462,24545
Aug.07,43726,19487,25920,11220,24214
Sep.07,44520,19702,18284,8673,24341
Oct.07,45322,21370,27323,11329,24482
Nov.07,41451,20999,33472,10949,24471
Dec.07,36308,21608,39767,9709,23993
Jan.08,46747,21845,29503,10645,23738
Feb.08,39495,21056,24486,9836,23703
Mar.08,41318,22609,28355,11263,24114
Apr.08,38783,20259,26536,11023,24495
May.08,37598,20317,30865,10773,24692
Jun.08,35035,18801,27220,11264,24727
Jul.08,38042,19267,26098,9141,24673
Aug.08,37787,19314,23659,6364,24380
Sep.08,40037,18681,20129,6704,24456
Oct.08,39886,21437,25543,9603,24582
Nov.08,36473,20916,26834,9192,24566
Dec.08,34691,21611,38487,10727,24032
Jan.09,44149,22774,28372,9395,23709
Feb.09,36681,19307,23255,9828,23667
Mar.09,39834,21026,25817,10559,24062
Apr.09,37539,20924,24734,9861,24456
May.09,35864,21364,28413,10135,24658
Jun.09,34122,19626,25857,11265,24927
Jul.09,35779,19320,22841,11307,24756
Aug.09,36169,19750,23188,9948,24525
Sep.09,38187,19148,20873,10626,24630
Oct.09,37737,20944,23346,10111,24655
Nov.09,35172,21072,26855,10140,24625
Dec.09,33616,21687,36208,10824,24063
Jan.10,42936,22033,26325,9284,24082
Feb.10,36639,19367,24218,8600,24035
Mar.10,40975,21553,27514,10193,24382
Apr.10,38336,20978,27195,9445,24858
May.10,37005,21483,28341,9290,25099
Jun.10,36028,20466,28370,10285,25158
Jul.10,37106,20619,24643,9880,25232
Aug.10,38392,20476,26157,9727,24836
Sep.10,42294,20485,21179,9238,24911
Oct.10,43625,22892,24224,9846,25004
Nov.10,41318,22046,30189,10781,24847
Dec.10,35517,23007,37749,10289,24538
Jan.11,47577,23672,26786,8959,24114
Feb.11,38160,20869,23606,8282,24431
Mar.11,43260,22224,27701,9652,24918
Apr.11,40376,21246,25682,8474,25240
May.11,38958,21667,30084,9468,25480
Jun.11,36766,20593,27882,9780,25592
Jul.11,38168,20222,23475,9520,25473
Aug.11,39360,20822,26885,9745,25257
Sep.11,38963,20257,21070,9973,25076
Oct.11,38359,21870,25892,9669,25409
Nov.11,37328,21352,31468,10415,25318
Dec.11,33990,22602,38556,10347,24880
Jan.12,44984,23997,29197,9013,24585
Feb.12,40609,24985,25611,9398,24825
Mar.12,43209,24055,28134,9511,25210
Apr.12,40094,22125,27792,8524,25653
May.12,39388,21640,27632,10115,25939
Jun.12,38170,20273,26009,9702,25939
Jul.12,40127,20446,24417,10158,25901
Aug.12,41455,21178,24358,9970,25623
Sep.12,41735,20364,18974,9137,25755
Oct.12,41889,22909,27120,9972,25787
Nov.12,38579,22015,30499,9915,25652
Dec.12,34311,23234,37330,8901,25139
Jan.13,44247,23930,28811,9371,24901
Feb.13,36645,21903,24060,8447,24973
Mar.13,38540,24220,23574,8528,25397
Apr.13,36738,22259,24381,9197,25928
May.13,35626,21946,30836,10266,26195
Jun.13,33154,20296,26215,9172,26291
Jul.13,36188,20519,27256,10789,26301
Aug.13,36400,21252,25646,9827,26074
Sep.13,37063,21151,19236,9371,26186
Oct.13,36055,22718,27081,10590,26268
Nov.13,33827,22803,28426,9742,26230
Dec.13,31972,23260,37285,9992,25736
Jan.14,41229,23387,26940,9072,25650
Feb.14,36754,23135,25043,9269,25997
Mar.14,38021,24231,24988,9472,26187
Apr.14,37183,21821,23841,9576,26714
May.14,35749,22184,28324,9852,26762
Jun.14,34171,20594,24789,9638,26825
Jul.14,36390,20854,24967,10342,26891
Aug.14,36539,20974,22294,9162,26775
Sep.14,37879,21153,19326,9889,26766
Oct.14,36450,22612,27118,10027,26809
Nov.14,32379,22491,23602,9321,26786
Dec.14,32691,24256,34275,9890,26270
Jan.15,41900,24800,28400,9300,26094
Feb.15,35700,23200,20900,7800,26398
Mar.15,40300,26500,27200,9200,26577
Apr.15,38100,23600,24700,8800,26954
May.15,36500,22900,28000,8300,27211
Jun.15,35500,21300,26700,10000,27255
Jul.15,36600,21500,23600,9500,27303
Aug.15,35200,21500,21800,8700,27064
Sep.15,36500,21300,19000,8800,27129
Oct.15,36700,23000,23200,9800,27137
Nov.15,33500,22600,26100,9100,27082
Dec.15,32000,23400,33300,9800,26747
Jan.16,39500,24700,23900,8300,26433
Feb.16,34900,24600,22500,8100,26734
Mar.16,38200,25200,25000,9000,26955
Apr.16,35200,22800,22800,8300,27228
May.16,34400,23100,25500,9200,27455
Jun.16,32900,21400,24300,9200,27563
Jul.16,33900,22100,21200,8700,27578
Aug.16,33900,22600,23000,9400,27524
Sep.16,34400,22100,17800,9100,27516
Oct.16,31500,23600,22000,9000,27499
Nov.16,30300,23300,25400,10000,27446
Dec.16,27200,25400,28400,9300,27035
