 Date,PEAK_HOUR,REAL_LOAD,AVG_TMPR,MIN_TMPR,MAX_TMPR,RAIN_AMT,CLD_AMT,SUN_HOUR,HOLIDAY_YN
2013.1.1,1,59796,-4.89,-9.174,-0.05,0,2.457,7.701,Y
2013.1.2,24,59173,-2.986,-7.223,2.674,0,0.103,8.803,N
2013.1.3,12,71768,-2.682,-7.027,1.591,0,4.689,5.652,N
2013.1.4,12,71697,-1.927,-5.512,1.149,0,5.111,3.068,N
2013.1.5,11,71845,-1.263,-4.408,1.866,0,6.06,4.227,N
2013.1.6,11,73012,-4.524,-6.952,-1.337,0,1.55,7.898,N
2013.1.7,11,73676,-4.878,-9.102,0.068,0,0.143,9.072,N
2013.1.8,11,65100,-1.797,-7.387,3.229,0,4.416,5.251,N
2013.1.9,24,61861,-3.591,-7.896,1.474,0,3.267,7.715,N
2013.1.10,11,74327,-6.199,-10.145,-1.517,0,1.55,8.663,N
2013.1.11,11,74357,-3.492,-7.462,0.647,0,5.983,3.947,N
2013.1.12,11,74212,-5.288,-8.102,-1.906,0,0.91,9.01,N
2013.1.13,11,74260,-4.293,-9.5,1.372,0,1.148,8.679,N
2013.1.14,11,74037,-2.044,-6.827,3.013,0,5.468,4.361,N
2013.1.15,24,66923,-8.457,-13.536,-2.841,0,3.168,7.047,N
2013.1.16,1,64446,-11.02,-15.224,-6.41,0,1.378,8.424,N
2013.1.17,12,75807,-6.856,-11.791,-1.271,0,0.312,9.229,N
2013.1.18,11,75265,-4.477,-8.577,-0.354,0,3.65,5.71,N
2013.1.19,11,74676,-4.028,-7.421,0.195,0,2.179,8.635,N
2013.1.20,11,74290,-5.334,-7.859,-1.651,0,2.517,7.247,N
2013.1.21,11,74570,-4.61,-7.935,-0.14,0,3.01,8.01,N
2013.1.22,12,65505,-2.648,-6.544,2.35,0,2.989,6.363,N
2013.1.23,1,62263,-1.853,-4.915,1.832,0,8.105,1.008,N
2013.1.24,11,74261,-5.401,-8.067,-2.246,0,2.855,6.979,N
2013.1.25,11,74933,-5.792,-9.393,-1.108,0,1.618,8.021,N
2013.1.26,11,74753,-5.739,-8.777,-1.521,0,0.511,9.01,N
2013.1.27,12,74796,-5.953,-9.091,-1.633,0,3.763,8.412,N
